Review,Rating,Title,Text,Buyer_tag
3,5,Classy product,GoodREAD MORE,Classy product
4,3,Fair,Everything is ok but after i bought the price came down ....READ MORE,Fair
5,5,Best in the market!,"Taste is awesome, mixibility just woww, quality is excellent, easy to digest,  just wait to see the result,, now I can say the result is very good ,, thank you muscleblaze thank you flipkartREAD MORE",Best in the market!
6,5,Terrific,Very good qualityREAD MORE,Terrific
7,5,Perfect product!,Best original productREAD MORE,Perfect product!
8,5,Highly recommended,i used this whey im join my gym 67kg  after 3 monts im 73kg its so nice taste good results quick observe your bodyREAD MORE,Highly recommended
9,5,Simply awesome,"Great quality.. easily blend, taste is also good and good effect in body. But do not depend totally on it, your proper diet is also mendatory.READ MORE",Simply awesome
10,5,Awesome,very good productREAD MORE,Awesome
1,5,Perfect product!,It is good product but his flavour is to sweetREAD MORE,Perfect product!
2,5,Fabulous!,AmazingREAD MORE,Fabulous!
3,5,Simply awesome,GreatREAD MORE,Simply awesome
4,3,Decent product,Nutrition wise and quality wise it was good but i don't recommend this flavor it doesn't taste that good.If you ever want to try a new whey protein always go for chocolate flavor u normally don't go wrong with itREAD MORE,Decent product
5,5,Terrific,Nice product MixiblityREAD MORE,Terrific
6,4,Delightful,Nice product ❤️❤️READ MORE,Delightful
7,4,Really Nice,This is my 2nd time Am taking MB Bio enzyme Overall the product is effectiveREAD MORE,Really Nice
8,4,Pretty good,Good ProductREAD MORE,Pretty good
9,4,Wonderful,GoodREAD MORE,Wonderful
10,4,Very Good,Good 👍READ MORE,Very Good
1,4,Very Good,Good in digestion helps to improve and gain body muscle nice product best in flavour ❤️READ MORE,Very Good
2,4,Pretty good,BetterREAD MORE,Pretty good
3,4,Good choice,Everything is 👍 good about this productsBut the main thing taste of this CHOCOLATE HEZALNUT flavour taste is little different It feels bloatedGo for RICH CHOCOLATE flavour this tastes fall better than  chocolate HEZALNUT flavourREAD MORE,Good choice
4,4,Delightful,Test is goodREAD MORE,Delightful
5,4,Nice product,OkREAD MORE,Nice product
6,4,Good quality product,Super productREAD MORE,Good quality product
7,4,Good choice,Nice 💪💪💪💪💪💪READ MORE,Good choice
8,4,Pretty good,Very goodREAD MORE,Pretty good
9,4,Nice product,"Good,but slow resultsREAD MORE",Nice product
10,4,Pretty good,Good productREAD MORE,Pretty good
1,4,Worth the money,NiceREAD MORE,Worth the money
2,4,Delightful,Good 🙂READ MORE,Delightful
3,4,Value-for-money,Good productREAD MORE,Value-for-money
4,5,Worth every penny,Just go for itREAD MORE,Worth every penny
5,5,Highly recommended,Good in taste Budget friendlyGives enough protein in 2 scoops.For teenager.💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪👍🏼👍🏼👍🏼👍🏼 Best protine from muscle blazeREAD MORE,Highly recommended
6,5,Fabulous!,Original productsREAD MORE,Fabulous!
7,5,Excellent,"Genuine product and value for money,go for it👍🏻READ MORE",Excellent
8,5,Classy product,One of the best product 👍READ MORE,Classy product
9,5,Great product,Good proteinREAD MORE,Great product
10,5,Perfect product!,Product is bestREAD MORE,Perfect product!
1,5,Worth every penny,Good product ❤️READ MORE,Worth every penny
2,5,Excellent,Quality is goodAffects on body yeah i think mb biozime is best whey for qualityREAD MORE,Excellent
3,5,Classy product,Nice packing prodectREAD MORE,Classy product
4,5,Highly recommended,Very goodREAD MORE,Highly recommended
5,5,Great product,Best for muscle Recovery💪READ MORE,Great product
6,5,Super!,GoodREAD MORE,Super!
7,5,Fabulous!,Best Digestable protein under 30 -40READ MORE,Fabulous!
8,5,Just wow!,"If you're looking for the best protein powder under 3k you're at the right place. Genuinely it's literally amazing and it made me look muscular, use it only if you're doing 6days workout in a week.READ MORE",Just wow!
9,5,Great product,NiceREAD MORE,Great product
10,5,Awesome,GoodREAD MORE,Awesome
1,5,Highly recommended,"Good quality product, no side effects  and results are positive, you can buy this product.READ MORE",Highly recommended
2,5,Awesome,Best pridREAD MORE,Awesome
3,5,Terrific,Good performanceREAD MORE,Terrific
4,5,Great product,Good and 100% authenticREAD MORE,Great product
5,5,Excellent,Nice flavourREAD MORE,Excellent
6,5,Classy product,Loved it had great results as expected totally worth itREAD MORE,Classy product
7,5,Worth every penny,Great WorkREAD MORE,Worth every penny
8,5,Mind-blowing purchase,GreatREAD MORE,Mind-blowing purchase
9,5,Terrific purchase,Really i can go with this brand again n again. Thank you so much✨❤️READ MORE,Terrific purchase
10,5,Best in the market!,"My experience with MuscleBlaze is an effective, low-carb protein powder and is considered the best-tasting whey protein.Honestly it works day by day, a trusted protein for gym lovers. You ll observe better results after using it. No side effects.A real taste.READ MORE",Best in the market!
1,5,Wonderful,ExcellentREAD MORE,Wonderful
2,5,Super!,"Just purchased this product recently, will review later on stay tuned ✌️READ MORE",Super!
3,5,Just wow!,Travel friendly sachet Pack!Loved it!READ MORE,Just wow!
4,5,Highly recommended,Muscleblaze Biozyme whey is my go to product for my daily Protein requirement and this sachet made it easier to carry everywhere.READ MORE,Highly recommended
5,5,Wonderful,A very genuine and high quality product. Good for travelling purpose so never short of your protein goal. Taste is good and very high quality rffect on body. Value for money.READ MORE,Wonderful
6,5,Just wow!,Protein was good in taste Mixiblity also good overall good productREAD MORE,Just wow!
7,5,Awesome,Mixes easily with water and milk. Digests easily and helps in muscle recovery.READ MORE,Awesome
8,5,Terrific,Its a good choice but it causes acne to my face. 🥲 I have to discontinue this protine.READ MORE,Terrific
9,5,Wonderful,Products is very useful.READ MORE,Wonderful
10,5,Terrific,Good product 👍🏻READ MORE,Terrific
1,5,Terrific purchase,Good product and no side effect 👍READ MORE,Terrific purchase
2,5,Excellent,Taste is really awesome !Go for it without a second thought!READ MORE,Excellent
3,5,Fabulous!,This is ultimate product that enhance your performance and nutritional level of your body. I genuinely thankful to the MB manufacturing unit who make it to the next levelREAD MORE,Fabulous!
4,5,Awesome,Mind blowing product 😁 I am using  first time MB taste is amazingREAD MORE,Awesome
5,5,Just wow!,Special Thanks To Muscle Blaze for the Amazing Product Loved It... ✅✅🥰🥰READ MORE,Just wow!
6,5,Excellent,nice oneREAD MORE,Excellent
7,5,Classy product,"Good easily digested protein, causes little to no protein farts. Taste is really good, however the choclate flavor is a bit too sweet. Reducing the sweetness slightly will make it perfect tastewise. The unflavored option is also good.READ MORE",Classy product
8,5,Highly recommended,Best whey  taste was awesome worth for Moneye also it help to gain muscleREAD MORE,Highly recommended
9,5,Just wow!,"It is very good, I used it for the first time, it does not make me feel tired in the gym and I am also lifting good weight now..READ MORE",Just wow!
10,5,Worth every penny,Value for money and effectiveREAD MORE,Worth every penny
1,5,Best in the market!,Nice 👍READ MORE,Best in the market!
2,5,Terrific purchase,result was better trust me guy's it's just give me result in the 2 days and I can see the effect I'm not changed into a hulk obviously but seriously it's just give u extra 3-4 Rep which is felt like godly and As you know the last Reps are more important than starting One your last Reps bulid your Muscles So go for it If you Have nice BudgetREAD MORE,Terrific purchase
3,5,Classy product,Must buy its genuine product.....with good taste 😄READ MORE,Classy product
4,5,Classy product,"Received a genuine quality of product, thanks to flipkart😊READ MORE",Classy product
5,5,Terrific,Very effective result 😃💪READ MORE,Terrific
6,5,Terrific,1 product is original2 mix very well3 good effect on my bodyREAD MORE,Terrific
7,5,Great product,Best taste and good resultsREAD MORE,Great product
8,5,Simply awesome,Good taste does what it mentionsREAD MORE,Simply awesome
9,5,Terrific purchase,I tried before chocolate flavour . Now purchased mango flavour . It was an awesome. Tastes very good . Feels like a mango juice .READ MORE,Terrific purchase
10,5,Worth every penny,Super s bhi uperREAD MORE,Worth every penny
1,5,Great product,Its goodREAD MORE,Great product
2,5,Awesome,Very good whey protein .It is mixibility is awesome.Superb taste Very easily digestible. I see changes in my body after using of 2 weaks .Tanks a lot Flipkart for this awesome product.But delivery is late.READ MORE,Awesome
3,5,Wonderful,Nice 👍🏻READ MORE,Wonderful
4,5,Classy product,Best productREAD MORE,Classy product
5,5,Best in the market!,best prodaktREAD MORE,Best in the market!
6,5,Best in the market!,NiceREAD MORE,Best in the market!
7,5,Super!,Awesome tasteVery good productREAD MORE,Super!
8,5,Super!,GoodREAD MORE,Super!
9,5,Simply awesome,NiceREAD MORE,Simply awesome
10,5,Excellent,Wery good productGood tasteBest qualityREAD MORE,Excellent
1,5,Great product,Awesome Protein Go For It !!! 🔥READ MORE,Great product
2,5,Just wow!,goodREAD MORE,Just wow!
3,5,Mind-blowing purchase,GoodREAD MORE,Mind-blowing purchase
4,5,Must buy!,Nice product and good resultsREAD MORE,Must buy!
5,5,Wonderful,Good qualityREAD MORE,Wonderful
6,5,Wonderful,Nice oneREAD MORE,Wonderful
7,5,Super!,Very good ☺️READ MORE,Super!
8,5,Brilliant,Excellent product. Have been using it for 10 days. Tastes good . Mixability is also good.READ MORE,Brilliant
9,5,Perfect product!,Excellent.. Go for itREAD MORE,Perfect product!
10,5,Terrific purchase,Best product in bodybuilding and best effect in body fast result💪💪💪💪READ MORE,Terrific purchase
1,5,Terrific purchase,Good productREAD MORE,Terrific purchase
2,5,Excellent,goodREAD MORE,Excellent
3,4,Value-for-money,"I'm writing this review after using this product for 2 months( 2 packs). It worked really good for me I gain 1.5 kg weight in a month. Only whey protein can't do miracles , with this we have to take protein rich diet and have to work hard in gym to get desired result. So go for it..READ MORE",Value-for-money
4,5,Terrific,"Good product. Good mixability & flavour (choco).No bloating or abdominal discomfort.Edit: Even these MB people advertise a lot, I must say MB products are Excellent. Im currently having all MB products from protein, creatpro, peanut buttr, Ashwagand. All r good.READ MORE",Terrific
5,4,Very Good,"Muscle Blaze's packaging is top notch and the scoop on top feature is a great bonus. However, as a fitness enthusiast looking to build muscle, this product is a one time only recommendation to get started with protein supplements. There are better supplements that cost less as well. However, packaging of MB is top notch and can be used to store other brands of protein once the original runs out.READ MORE",Very Good
6,3,Good,Nice proteinREAD MORE,Good
7,3,Fair,It is cheap and gives you around 24 grams of protein but it will not digest quickly and I feel bloated after drinking protein shake.READ MORE,Fair
8,3,Does the job,Flavour is good but to much sugar added seems like having mango juiceREAD MORE,Does the job
9,3,Good,"No such effect on body compared to MB raw whey 80%Raw whey 80% is far better than this.However, it's been just 20 days of use. Will repost after completing the entire box.READ MORE",Good
10,3,Nice,Taste of this product is not good and I haven't seen any effect on my body after using this. I would not recommend this product to anyone.READ MORE,Nice
1,3,Does the job,My honesty reviewThis product is better and digest easily and give some energy I think overall this is goodREAD MORE,Does the job
2,5,Best in the market!,This protein is outstanding and one of my fav its flavour and real protein that increases muscles in bodyREAD MORE,Best in the market!
3,5,Must buy!,100% original product Top protein for RecoveryREAD MORE,Must buy!
4,5,Awesome,I don't care u want to buy then buy itREAD MORE,Awesome
5,5,Fabulous!,VALUE FOR MONEY PRODUCT LOVE ITREAD MORE,Fabulous!
6,5,Worth every penny,"Best protein , Better than muscletech and optimum,..READ MORE",Worth every penny
7,5,Highly recommended,authenticREAD MORE,Highly recommended
8,5,Must buy!,Good Product..READ MORE,Must buy!
9,5,Fabulous!,seriously itz too bad flavorREAD MORE,Fabulous!
10,5,Just wow!,Good qualityREAD MORE,Just wow!
1,5,Awesome,GudREAD MORE,Awesome
2,3,Does the job,VERY POOR TASTE. YOU CAN'T DRINT WITH ANY FRUIT SHAKE EVN NO WITH MILKREAD MORE,Does the job
3,3,Nice,15 days has passed.but seen no.improve mentREAD MORE,Nice
4,5,Great product,"Within 2 days of usage i bec like CBUM , Tq muscle blaze now i will participate in Olympia and win gold 🥇READ MORE",Great product
5,2,Moderate,Flavour is not goodREAD MORE,Moderate
6,1,Terrible product,Stomach upset after consuming.READ MORE,Terrible product
7,5,Terrific purchase,Nice Pumped feel energetic.READ MORE,Terrific purchase
8,1,Don't waste your money,Worst taste and mixability I dont know the effect on bodyREAD MORE,Don't waste your money
9,1,Hated it!,"Please trust me guys don't buy this, this is too bad in flavour, so sweet and it's killing the milk within minutes. Please this one comment is more than enough to not buy Muscleblaze. Idiot useless muscleblazeREAD MORE",Hated it!
10,3,Decent product,Mixability not okREAD MORE,Decent product
1,5,Super!,As expectedREAD MORE,Super!
2,5,Excellent,Nice 👍 productREAD MORE,Excellent
3,4,Really Nice,SuperREAD MORE,Really Nice
4,4,Very Good,NiceREAD MORE,Very Good
5,4,Good quality product,GdREAD MORE,Good quality product
6,5,Wonderful,NiceREAD MORE,Wonderful
7,1,Very poor,Price is very high.READ MORE,Very poor
8,5,Terrific,WowREAD MORE,Terrific
9,5,Brilliant,GreatREAD MORE,Brilliant
10,5,Classy product,Overall goodREAD MORE,Classy product
1,5,Wonderful,Very good quality for the KurtiREAD MORE,Wonderful
2,5,Wonderful,First class productREAD MORE,Wonderful
3,5,Best in the market!,As said product is good and good affect on body for muscle growth 📈READ MORE,Best in the market!
4,4,Good quality product,Satisfied 😃READ MORE,Good quality product
5,5,Super!,Good oneREAD MORE,Super!
6,5,Terrific,Very nice 👍🏼READ MORE,Terrific
7,1,Horrible,Very poor mixabilityVery bad tasteREAD MORE,Horrible
8,5,Great product,Very nice I loved itREAD MORE,Great product
9,5,Classy product,India very important item onl gym useREAD MORE,Classy product
10,4,Nice product,Best whey I have ever ordered I like the taste although 😍READ MORE,Nice product
1,4,Pretty good,Very nice product 😍👍🏻READ MORE,Pretty good
2,5,Wonderful,"it is so effective ,that it works immediately after the meat👍.😘 I take it after the morning workout,💪 and at the evening ,and it work the best 😻I am impressed .😄READ MORE",Wonderful
3,5,Best in the market!,NiceREAD MORE,Best in the market!
4,5,Brilliant,It's a amazing productREAD MORE,Brilliant
5,5,Worth every penny,Awesome product🏋️READ MORE,Worth every penny
6,5,Terrific purchase,Not badREAD MORE,Terrific purchase
7,5,Terrific purchase,GoodREAD MORE,Terrific purchase
8,5,Just wow!,GoodREAD MORE,Just wow!
9,5,Must buy!,Full workingREAD MORE,Must buy!
10,5,Worth every penny,I use this product and this was to good than other whey protein. After use of 1 month I ordered 1kg so you also check it out if you any trust issues firstly order 180g than you can switch to higher oneREAD MORE,Worth every penny
1,5,Super!,The taste isn't much better.READ MORE,Super!
2,5,Wonderful,Very nice..I like it 👌🏻READ MORE,Wonderful
3,5,Fabulous!,GoodREAD MORE,Fabulous!
4,5,Classy product,Very good 👍READ MORE,Classy product
5,4,Nice product,GoodREAD MORE,Nice product
6,5,Mind-blowing purchase,This good  but I haven't used any other so I can't sayREAD MORE,Mind-blowing purchase
7,5,Wonderful,GoodREAD MORE,Wonderful
8,5,Terrific purchase,Risult is good 💯💪🏻READ MORE,Terrific purchase
9,5,Terrific,Good product 👍READ MORE,Terrific
10,5,Great product,"Good , won't feel weakREAD MORE",Great product
1,5,Highly recommended,Good podcastREAD MORE,Highly recommended
2,5,Awesome,GoodREAD MORE,Awesome
3,5,Worth every penny,ExcellentREAD MORE,Worth every penny
4,5,Wonderful,Onn is better in that rangeREAD MORE,Wonderful
5,5,Wonderful,Best proteinREAD MORE,Wonderful
6,5,Terrific,Nice productREAD MORE,Terrific
7,5,Best in the market!,Very good product Worth of moneyREAD MORE,Best in the market!
8,4,Good quality product,"I was drinking this protein in a bottle mixed with water, and after 4-5 minutes it started to smell so bad. But the product is good, so I'm saying it's better to drink the protein mixed with food instead of drinking the bottle. 〰️READ MORE",Good quality product
9,4,Good quality product,Awesome.READ MORE,Good quality product
10,4,Value-for-money,GoodREAD MORE,Value-for-money
1,5,Terrific purchase,GoodREAD MORE,Terrific purchase
2,5,Simply awesome,Awesome protein....Taste was good And Great delivery boyREAD MORE,Simply awesome
3,3,Fair,Cause bloating in stomach cause indigestion around 3 hoursREAD MORE,Fair
4,5,Great product,Nice productREAD MORE,Great product
5,5,Great product,OsmREAD MORE,Great product
6,1,Terrible product,Product seems lacks sufficient amt proteinREAD MORE,Terrible product
7,4,Good quality product,GoodREAD MORE,Good quality product
8,5,Great product,GoodREAD MORE,Great product
9,5,Highly recommended,Good 👍READ MORE,Highly recommended
10,1,Waste of money!,Not effectiveREAD MORE,Waste of money!
1,5,Worth every penny,Good proteinsREAD MORE,Worth every penny
2,3,Just okay,"The taste of this whey protein powder is good, but it is a bit hard to digest. Might not be suitable for people with sensitive stomachs.READ MORE",Just okay
3,5,Must buy!,Product is very good packaging also goodREAD MORE,Must buy!
4,5,Mind-blowing purchase,Very goodREAD MORE,Mind-blowing purchase
5,5,Terrific purchase,Best proteinREAD MORE,Terrific purchase
6,5,Wonderful,Good for muscle buildREAD MORE,Wonderful
7,4,Good choice,GoodREAD MORE,Good choice
8,5,Mind-blowing purchase,Everything is ok but packaging is not good overall all good 💯😊 kesar thndai is too good flavour thank you 🙏READ MORE,Mind-blowing purchase
9,3,Just okay,Ok okREAD MORE,Just okay
10,4,Delightful,So beautifulREAD MORE,Delightful
1,5,Best in the market!,Good taste 😙READ MORE,Best in the market!
2,5,Worth every penny,Good PeoductREAD MORE,Worth every penny
3,5,Awesome,It`s goodREAD MORE,Awesome
4,4,Very Good,Trusted and well packed the og product I ordered rich chocolate and it Taste like smoodhREAD MORE,Very Good
5,5,Terrific purchase,GoodREAD MORE,Terrific purchase
6,5,Best in the market!,SuperREAD MORE,Best in the market!
7,3,Just okay,AverageREAD MORE,Just okay
8,4,Really Nice,GoodREAD MORE,Really Nice
9,1,Terrible product,something is badREAD MORE,Terrible product
10,4,Good choice,Good but make more betterREAD MORE,Good choice
1,5,Perfect product!,Mixibilty is better quality Wise genuine 100pecent work thanks flipkartREAD MORE,Perfect product!
2,3,Just okay,It's OK OK not soREAD MORE,Just okay
3,4,Delightful,I think Taste can Be little bit betterREAD MORE,Delightful
4,5,Awesome,Very good productREAD MORE,Awesome
5,5,Brilliant,This is great prREAD MORE,Brilliant
6,4,Wonderful,Good oneREAD MORE,Wonderful
7,4,Really Nice,Let's try it 😁😁😁READ MORE,Really Nice
8,5,Fabulous!,Nice productREAD MORE,Fabulous!
9,5,Mind-blowing purchase,GoodREAD MORE,Mind-blowing purchase
10,3,Just okay,Taste is too sweet and artificialREAD MORE,Just okay
1,5,Simply awesome,I am Justt 14 Year Old Regularly Going to Gym and my height is 5'10 and my weight was 48 Kg before And Now It Helped Me A Lot in Weight Gain I Gained 4 kg in just 25 days. For Weight Gain i mix It with milk because it slowly digest as compare to water and provides me enough nutritionREAD MORE,Simply awesome
2,4,Very Good,This is good product And improve the bodyREAD MORE,Very Good
3,4,Wonderful,I Love it ❤️READ MORE,Wonderful
4,5,Terrific,NiceREAD MORE,Terrific
5,4,Value-for-money,nice productREAD MORE,Value-for-money
6,5,Awesome,If you want to take protein muscle blaze is best choiceREAD MORE,Awesome
7,2,Not good,Not worth the money other brand offer better product than this.READ MORE,Not good
8,1,Don't waste your money,"This substance is not drinkable, it can harm your digestionREAD MORE",Don't waste your money
9,5,Awesome,"I always use this , it's really good 👍 you can have it but if you want to bulk or cut then go for another one or if you want to just go with the flow then it's the right one you should be usingREAD MORE",Awesome
10,5,Classy product,Perfect protein powderREAD MORE,Classy product
1,5,Perfect product!,Good taste. Smells fresh. No bloating after consumption.READ MORE,Perfect product!
2,5,Good choice,Amazing ProductREAD MORE,Good choice
3,4,Good choice,GoodREAD MORE,Good choice
4,2,Moderate,Little expensiveREAD MORE,Moderate
5,1,Very poor,"This is not the protein, it's made up of raw aata sattu etc, please block the seller as soon as possible.I have used this protein multiple times and I got the issue only this time please block the seller.READ MORE",Very poor
6,5,Great product,I am using this from past 3 years and it gives me good resultREAD MORE,Great product
7,5,Highly recommended,MB chocolate huzalnat superb test tq FlipkartREAD MORE,Highly recommended
8,5,Best in the market!,Good product but price high ☹️READ MORE,Best in the market!
9,5,Best in the market!,This product is very nice sound quality bass also very goodREAD MORE,Best in the market!
10,4,Value-for-money,Currently using first pack since 20 days.Taste is good. mixability is good both with water and milk. effect on body- will update once i see the results.READ MORE,Value-for-money
1,5,Must buy!,AwesomeREAD MORE,Must buy!
2,5,Excellent,Excellent product 💯%READ MORE,Excellent
3,4,Value-for-money,i like productREAD MORE,Value-for-money
4,5,Terrific purchase,Nice product and Flipkart delivery very fast 👍READ MORE,Terrific purchase
5,3,Decent product,Rate to HighestREAD MORE,Decent product
6,4,Value-for-money,"Original product, best quality. Powerfull performanceREAD MORE",Value-for-money
7,4,Good quality product,Thank  Muscle Bla.companyREAD MORE,Good quality product
8,1,Very poor,Not any resultsREAD MORE,Very poor
9,5,Perfect product!,Very nice productREAD MORE,Perfect product!
10,1,Did not meet expectations,Very very very bad product... Don't buy pleaseREAD MORE,Did not meet expectations
1,5,Worth every penny,Very very good. My body changed in one monthREAD MORE,Worth every penny
